4.9358	1	0.529	0	1.697
5.516	1	0.49432	0	1.74
7.1086	1	0.46761	0	1.543
6.8395	1	0.42654	0	1.517
8.9284	1	0.45249	0	1.352
7.1531	1	0.45087	0	1.552
9.8568	1	0.564	0	1.553
11.269	1	0.73137	0	1.972
12.136	1	0.71901	0	1.848
12.97	1	0.72832	0	1.778
15	1	0.73248	0	1.724
16.044	1	0.72939	0	1.719
18.23	1	0.78075	0	1.814
19.168	1	0.71651	0	1.701
5.1605	1	0.41938	0	1.988
5.9383	1	0.48723	0	1.62
6.6099	1	0.45171	0	1.512
7.2123	1	0.46865	0	1.456
8.4346	1	0.70241	0	1.442
7.6444	1	0.38853	0	1.274
7.9827	1	0.38853	0	1.274
8.3728	1	0.38564	0	1.264
10.207	1	0.63119	0	1.315
13.662	1	0.84322	0	1.683
10.346	1	0.65931	0	1.374
11.573	1	0.77528	0	1.49
12.123	1	0.77278	0	1.702
4.9259	1	0.49505	0	2.095
6.0494	1	0.43103	0	1.752
6.7333	1	0.41391	0	1.487
6.8568	1	0.44684	0	1.451
6.684	1	0.45101	0	1.388
8.1432	1	0.38615	0	1.239
10.427	1	0.67901	0	1.399
4.7383	1	0.38481	0	2.037
5.5185	1	0.38417	0	1.915
6.5975	1	0.4643	0	1.538
7.1877	1	0.49777	0	1.557
8.1185	1	0.38095	0	1.311
8.8741	1	0.37685	0	1.297
9.7062	1	0.60286	0	1.301
13.074	1	0.82023	0	1.843
18.319	1	0.71964	0	1.869
21.76	1	0.72956	0	1.771
5.637	1	0.38285	0	1.912
6.8593	1	0.44919	0	1.482
8.121	1	0.7205	0	1.49
9.5259	1	0.59568	0	1.378
11.047	1	0.59825	0	1.465
7.4049	1	0.44588	0	1.676
9.8395	1	0.57831	0	1.555
11.98	1	0.71636	0	1.674
13.474	1	0.77399	0	1.726
5.9062	1	0.44092	0	1.665
6.5531	1	0.41528	0	1.499
6.7506	1	0.44629	0	1.44
7.7679	1	0.39136	0	1.274
6.1432	1	0.62018	0	1.57
7.2222	1	0.44906	0	1.49
7.5235	1	0.45828	0	1.442
9.3086	1	0.6132	0	1.321
10.395	1	0.66461	0	1.379
11.252	1	0.7766	0	1.558
7.642	1	0.46577	0	1.979
8.8765	1	0.48791	0	1.782
6.037	1	0.37388	0	2.096
4.2864	1	0.42848	0	2.514
5.2346	1	0.43935	0	2.22
3.8395	1	0.27778	0	2.507
5.1383	1	0.37594	0	2.192
3.4444	1	0.24375	0	2.549
5.4198	1	0.43672	0	2.285
13.116	1	0.40972	0	1.67
13.38	1	0.39851	0	1.636
15.748	1	0.52526	0	1.376
18.442	1	0.62262	0	1.483
4.6988	1	0.33353	0	2.348
8.5877	1	0.36436	0	1.876
8.8765	1	0.43082	0	2.05
16.037	1	0.6345	0	1.755
4.5556	1	0.29365	0	2.295
8.3333	1	0.3494	0	1.908
4.921	1	0.45013	0	2.323
5.3086	1	0.4977	0	2.147
5.6296	1	0.46753	0	2.066
