
========================================================================
                       optimization routine : 8
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075   -0.381565    0.358318    0.611703    0.734786    0.618955   -1.817857   -1.368475    0.484120


Iter     f-count          f(x)      MeshSize     Method
    0        1        51770.3             1      
    1        4        44710.2             1     Successful Search
    2        7        6564.52             1     Successful Search
    3       10        2870.14             1     Successful Search
    4       13        2866.09             1     Successful Search
    5       16        1585.74             1     Successful Search
    6       21        1017.42             1     Successful Search
    7       49        846.513             1     Successful Poll
    8       52        411.939             1     Successful Search
    9       56        400.725             1     Successful Search
   10       61        153.366             1     Successful Search
   11       74        119.061             1     Successful Search
   12      102        117.669             1     Successful Poll
   13      141        117.669          0.25     Refine Mesh
   14      180        117.669        0.0625     Refine Mesh
   15      182        111.223        0.0625     Successful Search
   16      186        104.371        0.0625     Successful Search
   17      198        77.7797        0.0625     Successful Search
   18      208        76.0206        0.0625     Successful Search
   19      248        76.0206       0.01563     Refine Mesh
   20      250        74.1626       0.01563     Successful Search
   21      254        66.3877       0.01563     Successful Search
   22      258        65.0744       0.01563     Successful Search
   23      260         61.084       0.01563     Successful Search
   24      274        59.6951       0.01563     Successful Search
   25      299        59.6836        0.0625     Successful Poll
   26      313        58.8823        0.0625     Successful Search
   27      346        56.3549          0.25     Successful Poll
   28      358        55.0994          0.25     Successful Search
   29      398        55.0994        0.0625     Refine Mesh
   30      413        54.6021        0.0625     Successful Search

Iter     f-count        f(x)       MeshSize      Method
   31      419        52.1795        0.0625     Successful Search
   32      458        52.1795       0.01563     Refine Mesh
   33      460        51.8279       0.01563     Successful Search
   34      484        50.2974        0.0625     Successful Poll
   35      524        50.2974       0.01563     Refine Mesh
   36      528        50.2826       0.01563     Successful Search
   37      533        48.7563       0.01563     Successful Search
   38      543        47.1931       0.01563     Successful Search
   39      560        47.0385        0.0625     Successful Poll
   40      583        45.8766          0.25     Successful Poll
   41      604        44.6985             1     Successful Poll
   42      640        42.9313             1     Successful Poll
   43      679        42.9313          0.25     Refine Mesh
   44      696        42.7862             1     Successful Poll
   45      736        42.7862          0.25     Refine Mesh
   46      776        42.7862        0.0625     Refine Mesh
   47      780        39.5649        0.0625     Successful Search
   48      787        39.4606        0.0625     Successful Search
   49      827        39.4606       0.01563     Refine Mesh
   50      831        39.4481       0.01563     Successful Search
   51      861        37.5883        0.0625     Successful Poll
   52      868        34.8171        0.0625     Successful Search
   53      908        34.8171       0.01563     Refine Mesh
   54      946        34.1213        0.0625     Successful Poll
   55      950        33.7761        0.0625     Successful Search
   56      990        33.7761       0.01563     Refine Mesh
   57     1005        33.5163       0.01563     Successful Search
   58     1009        33.4771       0.01563     Successful Search
   59     1048        33.4771      0.003906     Refine Mesh
   60     1050        33.4219      0.003906     Successful Search

Iter     f-count        f(x)       MeshSize      Method
   61     1090        33.4219     0.0009766     Refine Mesh
   62     1101        33.3388     0.0009766     Successful Search
   63     1108        33.1091     0.0009766     Successful Search
   64     1127        33.0649      0.003906     Successful Poll
   65     1144        33.0612       0.01563     Successful Poll
   66     1154         32.978       0.01563     Successful Search
   67     1194         32.978      0.003906     Refine Mesh
   68     1214        32.6591       0.01563     Successful Poll
   69     1224        32.5833       0.01563     Successful Search
   70     1265        32.3625        0.0625     Successful Poll
   71     1305        32.3625       0.01563     Refine Mesh
   72     1312        32.2661       0.01563     Successful Search
   73     1347        32.0806        0.0625     Successful Poll
   74     1370          31.94          0.25     Successful Poll
   75     1410          31.94        0.0625     Refine Mesh
   76     1421        31.6178        0.0625     Successful Search
   77     1461        31.6178       0.01563     Refine Mesh
   78     1481        31.2232        0.0625     Successful Poll
   79     1493        30.6336        0.0625     Successful Search
   80     1527        30.1443          0.25     Successful Poll
   81     1567        30.1443        0.0625     Refine Mesh
   82     1607        30.1443       0.01563     Refine Mesh
   83     1624        30.0596        0.0625     Successful Poll
   84     1664        30.0596       0.01563     Refine Mesh
   85     1668        30.0472       0.01563     Successful Search
   86     1704        29.9217        0.0625     Successful Poll
   87     1744        29.9217       0.01563     Refine Mesh
   88     1765        29.3832        0.0625     Successful Poll
   89     1804        29.3832       0.01563     Refine Mesh
   90     1844        29.3832      0.003906     Refine Mesh

Iter     f-count        f(x)       MeshSize      Method
   91     1855        28.6528      0.003906     Successful Search
   92     1893        28.6149       0.01563     Successful Poll
   93     1923        28.6114        0.0625     Successful Poll
   94     1963        28.6114       0.01563     Refine Mesh
   95     2003        28.6114      0.003906     Refine Mesh
   96     2022        28.4951       0.01563     Successful Poll
   97     2062        28.4951      0.003906     Refine Mesh
   98     2070        28.2921      0.003906     Successful Search
   99     2095        28.2406       0.01563     Successful Poll
  100     2123        27.9769        0.0625     Successful Poll
  101     2156        27.3956          0.25     Successful Poll
  102     2196        27.3956        0.0625     Refine Mesh
  103     2216        26.3486          0.25     Successful Poll
  104     2237        26.3105             1     Successful Poll
  105     2276        26.3105          0.25     Refine Mesh
  106     2316        26.3105        0.0625     Refine Mesh
  107     2355        26.3105       0.01563     Refine Mesh
  108     2395        26.2097        0.0625     Successful Poll
  109     2403        26.2028        0.0625     Successful Search
  110     2443        26.2028       0.01563     Refine Mesh
  111     2483        26.2028      0.003906     Refine Mesh
  112     2486        26.1725      0.003906     Successful Search
  113     2526        26.1725     0.0009766     Refine Mesh
  114     2545        26.0925      0.003906     Successful Poll
  115     2547        25.9648      0.003906     Successful Search
  116     2587        25.9648     0.0009766     Refine Mesh
  117     2590        25.8622     0.0009766     Successful Search
  118     2630        25.8622     0.0002441     Refine Mesh
  119     2636        25.8374     0.0002441     Successful Search
  120     2640        25.8372     0.0002441     Successful Search

Iter     f-count        f(x)       MeshSize      Method
  121     2643        25.8372     0.0002441     Successful Search
  122     2660        25.8371     0.0009766     Successful Poll
  123     2685        25.7543      0.003906     Successful Poll
  124     2706        25.7463       0.01563     Successful Poll
  125     2721        25.5808       0.01563     Successful Search
  126     2762        25.5634        0.0625     Successful Poll
  127     2790         25.362          0.25     Successful Poll
  128     2818        24.8797             1     Successful Poll
  129     2826        24.8479             1     Successful Search
  130     2830          24.64             1     Successful Search
  131     2870          24.64          0.25     Refine Mesh
  132     2909          24.64        0.0625     Refine Mesh
  133     2949          24.64       0.01563     Refine Mesh
  134     2974          24.16        0.0625     Successful Poll
  135     2982        23.9915        0.0625     Successful Search
  136     3022         23.812          0.25     Successful Poll
  137     3062         23.812        0.0625     Refine Mesh
  138     3102         23.812       0.01563     Refine Mesh
  139     3143        23.7451        0.0625     Successful Poll
  140     3155        22.9902        0.0625     Successful Search
  141     3195        22.9902       0.01563     Refine Mesh
  142     3235        22.9902      0.003906     Refine Mesh
  143     3239        22.9352      0.003906     Successful Search
  144     3245         22.714      0.003906     Successful Search
  145     3282        22.0052       0.01563     Successful Poll
  146     3316        22.0048        0.0625     Successful Poll
  147     3328        22.0029        0.0625     Successful Search
  148     3340        21.5781        0.0625     Successful Search
  149     3350        21.4694        0.0625     Successful Search
  150     3358        21.4443        0.0625     Successful Search

Iter     f-count        f(x)       MeshSize      Method
  151     3366        21.3558        0.0625     Successful Search
  152     3401        21.0378          0.25     Successful Poll
  153     3431        20.8896             1     Successful Poll
  154     3472        20.7117             1     Successful Poll
  155     3512        20.7117          0.25     Refine Mesh
  156     3551        20.7117        0.0625     Refine Mesh
  157     3591        20.7117       0.01563     Refine Mesh
  158     3603        20.3663       0.01563     Successful Search
  159     3618        20.3272       0.01563     Successful Search
  160     3626        20.2705       0.01563     Successful Search
  161     3638        20.2549       0.01563     Successful Search
  162     3668        20.2061        0.0625     Successful Poll
  163     3708        20.2061       0.01563     Refine Mesh
  164     3748        20.2061      0.003906     Refine Mesh
  165     3765         20.147       0.01563     Successful Poll
  166     3780        20.0233       0.01563     Successful Search
  167     3801         20.018        0.0625     Successful Poll
  168     3840         20.018       0.01563     Refine Mesh
  169     3873        20.0163        0.0625     Successful Poll
  170     3901        19.9299          0.25     Successful Poll
  171     3941        19.9299        0.0625     Refine Mesh
  172     3949        19.8124        0.0625     Successful Search
  173     3989        19.8124       0.01563     Refine Mesh
  174     4000        19.8124      0.003906     Refine Mesh
Maximum number of function evaluations exceeded: increase options.MaxFunEvals.

Obj. function:	     19.8124

theta1:	  -32.662098   -3.330536    0.169406   -1.351310   -1.748057    2.327711    0.086030   -1.469348   -1.513735   -0.296555   -0.845345   -0.128269   -3.413069   -1.091706   -0.001528    0.444985    1.281864   -1.121705   -1.607207   -0.415053    0.723282    1.045616   -1.765174   -0.496564   -0.639726

theta2	    0.368657    1.284990   -0.014853    0.201752    2.240150   -0.462131   -0.147542    1.912485    0.333419    2.070127   -0.020982   -2.460272    9.627675

gradient-analytical
           21.8068
           -0.2759
          343.3936
           -3.3452
           34.4759
            4.9251
          529.6528
            6.7053
           91.9118
            1.7430
           26.5862
           -8.6526
           -1.0291

gradient-numerical I
           20.3931
            0.0276
           -7.6412
            0.0952
           -1.5011
           -0.1030
           19.3123
            0.4832
           -1.2600
           -1.1757
          -68.8651
           -2.4219
           -0.2649

gradient-numerical II
            0.7350
            0.0276
           -7.6412
            0.0952
           -1.5011
           -0.1030
           19.3123
            0.4832
           -1.2600
           -1.1757
          -68.8651
           -2.4219
           -0.2649

hessian eigenvalues-numerical I
           -0.1603
            0.2170
            1.0232
            2.3602
            3.6812
           12.4765
           35.5222
           61.7849
          107.9367
          198.9734
         4617.7630
         6777.4178
        15188.7506

hessian eigenvalues-numerical II
           -6.9230
           -3.6645
           -1.8371
           -0.3616
            0.3931
            8.4661
           23.5455
           37.8588
           79.5508
          136.2475
         4050.0653
         6482.8630
        14377.3982

========================================================================
                       optimization routine : 8
                     set of starting values : 2
========================================================================
theta2 starting values:
   -1.834895   -2.664368   -0.842164    0.478726   -0.629552    0.465574    0.177577    0.937350   -0.067703    0.846080   -0.773337    1.592894   -0.636620


Iter     f-count          f(x)      MeshSize     Method
    0        1        5712.74             1      
    1        4        4969.07             1     Successful Search
    2       10        4001.77             1     Successful Search
    3       15        3431.39             1     Successful Search
    4       30         3420.5             1     Successful Search
